Who?	('<SOS>', 'को?', '<EOS>')
I'll decide.	('<SOS>', 'म निर्णय गर्छु।', '<EOS>')
I'll decide.	('<SOS>', 'म निर्णय गर्नेछु।', '<EOS>')
I'm starved.	('<SOS>', 'मलाई धेरै भोक लागेको छ।', '<EOS>')
Let's hurry.	('<SOS>', 'हतार गरौं।', '<EOS>')
OK, you win.	('<SOS>', 'ठिक छ, तिमीले जित्यौ।', '<EOS>')
Say my name.	('<SOS>', 'मेरो नाम भन।', '<EOS>')
She is dead.	('<SOS>', 'तिनी मरिसकेकी छिन्।', '<EOS>')
She is kind.	('<SOS>', 'उनी दयालु छिन्।', '<EOS>')
Tom is here.	('<SOS>', 'टम यहाँ छ।', '<EOS>')
We are sick.	('<SOS>', 'हामी बिरामी छौं।', '<EOS>')
What's this?	('<SOS>', 'यो के हो?', '<EOS>')
Am I in debt?	('<SOS>', 'के म ऋणमा छु?', '<EOS>')
Did Tom fall?	('<SOS>', 'के टम खसेको थियो?', '<EOS>')
Drive faster.	('<SOS>', 'छिटो चलाउनुहोस्।', '<EOS>')
Ghosts exist.	('<SOS>', 'भूतहरू छन्।', '<EOS>')
He is asleep.	('<SOS>', 'ऊ सुतिरहेको छ।', '<EOS>')
He is cranky.	('<SOS>', 'ऊ चकचके छ।', '<EOS>')
He is eating.	('<SOS>', 'उ खादै छ।', '<EOS>')
He seems ill.	('<SOS>', 'ऊ बिरामी देखिन्छ।', '<EOS>')
I am Chinese.	('<SOS>', 'म चिनियाँ हुँ।', '<EOS>')
I am Chinese.	('<SOS>', 'म चाइनिज हुँ।', '<EOS>')
I am curious.	('<SOS>', 'म उत्सुक छु।', '<EOS>')
I am curious.	('<SOS>', 'म जिज्ञासु छु', '<EOS>')
I am working.	('<SOS>', 'म काम गर्दैछु।', '<EOS>')
I am working.	('<SOS>', 'म काम गरिरहेको छु।', '<EOS>')
I don't know.	('<SOS>', 'मलाई थाहा छैन।', '<EOS>')
I don't know.	('<SOS>', 'थाहा छैन।', '<EOS>')
I drink beer.	('<SOS>', 'म बियर पिउँछु।', '<EOS>')
I drink milk.	('<SOS>', 'म दूध पिउँछु।', '<EOS>')
I drink wine.	('<SOS>', 'म वाइन पिउँछु।', '<EOS>')
I eat cheese.	('<SOS>', 'म चीज खान्छु।', '<EOS>')
I eat slowly.	('<SOS>', 'म बिस्तारै खान्छु।', '<EOS>')
I have a map.	('<SOS>', 'म सँग नक्सा छ।', '<EOS>')
I like steak.	('<SOS>', 'मलाई स्टेक मन पर्छ।', '<EOS>')
I live alone.	('<SOS>', 'म एक्लै बस्छु।', '<EOS>')
I need a pet.	('<SOS>', 'मलाई एउटा पाल्तु जनावर चाहिन्छ।', '<EOS>')
I read books.	('<SOS>', 'म किताबहरू पढ्छु ।', '<EOS>')
I want a dog.	('<SOS>', 'मलाई एउटा कुकुर चाहियो।', '<EOS>')
I went there.	('<SOS>', 'म त्यहाँ गएँ।', '<EOS>')
I went twice.	('<SOS>', 'म दुई पटक गएँ ।', '<EOS>')
I will fight.	('<SOS>', 'म लड्नेछु।', '<EOS>')
I will learn.	('<SOS>', 'म सिक्नेछु।', '<EOS>')
Make a guess.	('<SOS>', 'अनुमान गर्नुहोस्।', '<EOS>')
My eyes hurt.	('<SOS>', 'मेरो आँखा दुखिरहेको छ!', '<EOS>')
She is eight.	('<SOS>', 'उनी आठ वर्षकी हुन् ।', '<EOS>')
She is happy.	('<SOS>', 'उनी खुसी छिन् ।', '<EOS>')
She is lucky.	('<SOS>', 'उनी भाग्यमानी छिन्।', '<EOS>')
She is quiet.	('<SOS>', 'उनी शान्त छिन्।', '<EOS>')
She is sharp.	('<SOS>', 'तिनी तीक्ष्ण छिन्।', '<EOS>')
She is wrong.	('<SOS>', 'उनी गलत छिन्।', '<EOS>')
Tom got rich.	('<SOS>', 'टम धनी भयो।', '<EOS>')
Tom hates me.	('<SOS>', 'टमले मलाई घृणा गर्छ।', '<EOS>')
We are happy.	('<SOS>', 'हामी खुसी छौं।', '<EOS>')
We don't lie.	('<SOS>', 'हामी झूट बोल्दैनौं।', '<EOS>')
We have room.	('<SOS>', 'हामीसँग कोठा छ।', '<EOS>')
What is this?	('<SOS>', 'यो के हो?', '<EOS>')
Did Tom paint?	('<SOS>', 'टमले पेन्ट गर्यो?', '<EOS>')
He drank beer.	('<SOS>', 'उनले बियर पिए ।', '<EOS>')
He drank beer.	('<SOS>', 'उसले बियर पियो ।', '<EOS>')
He is foolish.	('<SOS>', 'ऊ मूर्ख छ।', '<EOS>')
He seems kind.	('<SOS>', 'उनी दयालु देखिन्छन्।', '<EOS>')
He seems kind.	('<SOS>', 'उहाँ दयालु देखिनुहुन्छ।', '<EOS>')
I am Japanese.	('<SOS>', 'म जापानीज हुँ।', '<EOS>')
I am a runner.	('<SOS>', 'म एक धावक हुँ।', '<EOS>')
I am divorced.	('<SOS>', 'म सम्बन्धविच्छेद भएको हु।', '<EOS>')
I am studying.	('<SOS>', 'म पढिरहेको छु।', '<EOS>')
I am studying.	('<SOS>', 'म पढ्दै छु।', '<EOS>')
I can't watch.	('<SOS>', 'म हेर्न सक्दिन।', '<EOS>')
I drink a lot.	('<SOS>', 'म धेरै पिउँछु।', '<EOS>')
I eat bananas.	('<SOS>', 'म केरा खान्छु।', '<EOS>')
I eat chicken.	('<SOS>', 'म कुखुराको मासु खान्छु ।', '<EOS>')
I live nearby.	('<SOS>', 'म नजिकै बस्छु।', '<EOS>')
I must go out.	('<SOS>', 'म बाहिर जानु पर्छ।', '<EOS>')
I read novels.	('<SOS>', 'मैले उपन्यासहरू पढे।', '<EOS>')
I should quit.	('<SOS>', 'मैले छाड्नु पर्छ।', '<EOS>')
I was excited.	('<SOS>', 'म उत्साहित थिएँ।', '<EOS>')
I went aboard.	('<SOS>', 'म विदेश गएँ ।', '<EOS>')
I went abroad.	('<SOS>', 'म विदेश गएँ ।', '<EOS>')
I went hiking.	('<SOS>', 'म पदयात्रामा गएँ।', '<EOS>')
I went inside.	('<SOS>', 'म भित्र गएँ ।', '<EOS>')
I went skiing.	('<SOS>', 'म स्कीइङ गर्न गएँ।', '<EOS>')
I'm ambitious.	('<SOS>', 'म महत्वाकांक्षी छु।', '<EOS>')
I'm an addict.	('<SOS>', 'म एक लतमा लागेको व्यक्ति हुँ।', '<EOS>')
I'm not brave.	('<SOS>', 'म साहसी छैन।', '<EOS>')
I'm not crazy.	('<SOS>', 'म पागल होइन।', '<EOS>')
I'm not crazy.	('<SOS>', 'म पागल छैन।', '<EOS>')
Is Tom asleep?	('<SOS>', 'के टम सुतिरहेको छ?', '<EOS>')
Is Tom famous?	('<SOS>', 'के टम प्रसिद्ध छ?', '<EOS>')
It'll be easy.	('<SOS>', 'यो सजिलो हुनेछ।', '<EOS>')
It's not mine.	('<SOS>', 'यो मेरो होइन।', '<EOS>')
Life is short.	('<SOS>', 'जिवन छोटो छ।', '<EOS>')
My name's Tom.	('<SOS>', 'मेरो नाम टम हो।', '<EOS>')
Please fix it.	('<SOS>', 'कृपया यसलाई ठीक गर्नुहोस्।', '<EOS>')
She is French.	('<SOS>', 'उनी फ्रान्सेली हुन्।', '<EOS>')
She is active.	('<SOS>', 'उनी सक्रिय छिन्।', '<EOS>')
She is crying.	('<SOS>', 'उनी रुदै छिन् ।', '<EOS>')
She is crying.	('<SOS>', 'उनी रोइरहेकी छिन् ।', '<EOS>')
She is eating.	('<SOS>', 'उनी खाइरहेकि छिन् ।', '<EOS>')
She is strong.	('<SOS>', 'तिनी बलियो छिन्।', '<EOS>')
Tell everyone.	('<SOS>', 'सबैलाई भन।', '<EOS>')
Tell everyone.	('<SOS>', 'सबैलाई भन्नुहोस्।', '<EOS>')
That's a fake.	('<SOS>', 'त्यो नक्कली हो।', '<EOS>')
This is a map.	('<SOS>', 'यो नक्सा हो।', '<EOS>')
This is a map.	('<SOS>', 'यो एउटा नक्शा हो।', '<EOS>')
Tom isn't new.	('<SOS>', 'टम नयाँ होइन।', '<EOS>')
Tom was blind.	('<SOS>', 'टमले आँखा देख्दैन थियो।', '<EOS>')
Tom was blind.	('<SOS>', 'टम अन्धो थियो।', '<EOS>')
Tom was scary.	('<SOS>', 'टम डरलाग्दो थियो।', '<EOS>')
We are hungry.	('<SOS>', 'हामी भोकाएका छौं।', '<EOS>')
We drank beer.	('<SOS>', 'हामीले बियर पियौं।', '<EOS>')
Who's driving?	('<SOS>', 'कसले गाडी चलाउदै छ?', '<EOS>')
Who's singing?	('<SOS>', 'कसले गाउँदै छ?', '<EOS>')
Will you clap?	('<SOS>', 'के तिमी ताली बजाउछौ ?', '<EOS>')
A beer, please.	('<SOS>', 'कृपया, एक बियर।', '<EOS>')
Are you sleepy?	('<SOS>', 'के तपाईलाई निद्रा लागेको छ ?', '<EOS>')
Can I eat that?	('<SOS>', 'के म त्यो खान सक्छु?', '<EOS>')
Can I eat this?	('<SOS>', 'के म यो खान सक्छु?', '<EOS>')
Cows eat grass.	('<SOS>', 'गाईहरुले घाँस खान्छन्।', '<EOS>')
Girls love Tom.	('<SOS>', 'केटीहरू टमलाई मन पराउँछन्।', '<EOS>')
Happy birthday!	('<SOS>', 'जन्मदिनको शुभकामना', '<EOS>')
He is a doctor.	('<SOS>', 'उहाँ डाक्टर हुनुहुन्छ।', '<EOS>')
He is powerful.	('<SOS>', 'उहाँ शक्तिशाली हुनुहुन्छ।', '<EOS>')
He is powerful.	('<SOS>', 'ऊ शक्तिशाली छ।', '<EOS>')
He was at home.	('<SOS>', 'ऊ घरमै थियो।', '<EOS>')
Here, try some.	('<SOS>', 'यहाँ, केहि प्रयास गर्नुहोस्।', '<EOS>')
How is it made?	('<SOS>', 'यो कसरी बनेको छ?', '<EOS>')
I am a student.	('<SOS>', 'म विद्यार्थी हुँ।', '<EOS>')
I am a teacher.	('<SOS>', 'म शिक्षक हुँ।', '<EOS>')
I am an artist.	('<SOS>', 'म एक कलाकार हुँ।', '<EOS>')
I can't see it.	('<SOS>', 'म यो देख्न सक्दिन।', '<EOS>')
I can't see it.	('<SOS>', 'म यसलाई देख्न सक्दिन।', '<EOS>')
I danced alone.	('<SOS>', 'म एक्लै नाचेँ ।', '<EOS>')
I drink coffee.	('<SOS>', 'म कफी पिउछु।', '<EOS>')
I eat anything.	('<SOS>', 'म जे पनि खान्छु।', '<EOS>')
I eat tomatoes.	('<SOS>', 'म टमाटर खान्छु।', '<EOS>')
I expect a lot.	('<SOS>', 'म धेरै अपेक्षा गर्छु।', '<EOS>')
I have a dream.	('<SOS>', 'मसँग एउटा सपना छ।', '<EOS>')
I have hiccups.	('<SOS>', 'मलाई बाडुली लागेको छ।', '<EOS>')
I have one kid.	('<SOS>', 'मेरो एउटा बच्चा छ।', '<EOS>')
I just checked.	('<SOS>', 'मैले भर्खरै चेक गरे।', '<EOS>')
I like my name.	('<SOS>', 'मलाई मेरो नाम मन पर्छ।', '<EOS>')
I like sashimi.	('<SOS>', 'मलाई शशिमी मन पर्छ।', '<EOS>')
I need Tom now.	('<SOS>', 'अब मलाई टम चाहिन्छ।', '<EOS>')
I remember Tom.	('<SOS>', 'म टमलाई सम्झन्छु।', '<EOS>')
I sneeze a lot.	('<SOS>', 'म धेरै हाच्छिउँ गर्छु।', '<EOS>')
I speak French.	('<SOS>', 'म फ्रेन्च बोल्न सक्छु।', '<EOS>')
I was sleeping.	('<SOS>', 'म सुतिरहेको थिए।', '<EOS>')
I went fishing.	('<SOS>', 'म माछा मार्न गएँ।', '<EOS>')
I went on foot.	('<SOS>', 'म पैदल गएँ ।', '<EOS>')
I went outside.	('<SOS>', 'म बाहिर गएँ ।', '<EOS>')
I will survive.	('<SOS>', 'म बाच्ने छु।', '<EOS>')
I'm a criminal.	('<SOS>', 'म एक अपराधी हुँ।', '<EOS>')
I'm a rich kid.	('<SOS>', 'म एक धनी बच्चा हुँ।', '<EOS>')
I'm only human.	('<SOS>', 'म मान्छे मात्रै हुँ।', '<EOS>')
I'm very angry.	('<SOS>', 'म धेरै रिसाएको छु।', '<EOS>')
Is he sleeping?	('<SOS>', 'के ऊ सुतिरहेको छ?', '<EOS>')
It was raining.	('<SOS>', 'पानी परिरहेको थियो।', '<EOS>')
Leave me alone!	('<SOS>', 'मलाई एक्लै छाडिदेउ!', '<EOS>')
Let's be clear.	('<SOS>', 'प्रष्ट होऔं।', '<EOS>')
Let's be clear.	('<SOS>', 'प्रष्ट बनौं।', '<EOS>')
Let's hurry up.	('<SOS>', 'हतार गरौं।', '<EOS>')
Many fish died.	('<SOS>', 'धेरै माछा मरे।', '<EOS>')
My name is Tom.	('<SOS>', 'मेरो नाम टम हो।', '<EOS>')
Shall we begin?	('<SOS>', 'सुरु गरौँ कि?', '<EOS>')
Shall we begin?	('<SOS>', 'सुरु गरौँ त?', '<EOS>')
Shall we begin?	('<SOS>', 'श्रीगणेश गरौँ त?', '<EOS>')
Shall we start?	('<SOS>', 'सुरु गरौँ कि?', '<EOS>')
Shall we start?	('<SOS>', 'सुरु गरौँ त?', '<EOS>')
Shall we start?	('<SOS>', 'श्रीगणेश गरौँ त?', '<EOS>')
She is dieting.	('<SOS>', 'उनी डाइटिङ गरिरहेकी छिन् ।', '<EOS>')
Tell everybody.	('<SOS>', 'सबैलाई भन।', '<EOS>')
Tell everybody.	('<SOS>', 'सबैलाई भन्नुहोस्।', '<EOS>')
This is a book.	('<SOS>', 'यो पुस्तक हो।', '<EOS>')
Tom apologized.	('<SOS>', 'टमले माफी मागे।', '<EOS>')
Tom apologized.	('<SOS>', 'टमले माफी माग्यो।', '<EOS>')
Tom hated Mary.	('<SOS>', 'टम मेरीलाई घृणा गर्थ्यो।', '<EOS>')
Tom hated this.	('<SOS>', 'टमले यसलाई घृणा गर्यो।', '<EOS>')
Tom hates bugs.	('<SOS>', 'टमले किराहरूलाई घृणा गर्छ।', '<EOS>')
Tom is my name.	('<SOS>', 'टम मेरो नाम हो।', '<EOS>')
Tom is talking.	('<SOS>', 'टम बोल्दै छ।', '<EOS>')
Tom seems nice.	('<SOS>', 'टम राम्रो देखिन्छ।', '<EOS>')
Tom wore a cap.	('<SOS>', 'टमले टोपी लगाएको थियो।', '<EOS>')
Tom wore jeans.	('<SOS>', 'टमले जिन्स लगाएका थिए।', '<EOS>')
Tom's not sick.	('<SOS>', 'टम बिरामी छैन।', '<EOS>')
We are cousins.	('<SOS>', 'हामी दाजुभाइ हौं।', '<EOS>')
We are doctors.	('<SOS>', 'हामी डाक्टर हौं।', '<EOS>')
What can I eat?	('<SOS>', 'म के खान सक्छु?', '<EOS>')
What can I eat?	('<SOS>', 'मैले के खादा राम्रो हुन्छ?', '<EOS>')
What do I need?	('<SOS>', 'मलाई के चाहिन्छ?', '<EOS>')
Who's speaking?	('<SOS>', 'तपाईं को हुनुहुन्छ?', '<EOS>')
Who's speaking?	('<SOS>', 'को बोल्दै हुनुहुन्छ?', '<EOS>')
Are you a local?	('<SOS>', 'के तपाइँ स्थानीय हुनुहुन्छ?', '<EOS>')
Are you chicken?	('<SOS>', 'तपाई कुखुरा हो?', '<EOS>')
Did Tom ask you?	('<SOS>', 'के टमले तिमीलाई सोध्यो?', '<EOS>')
Don't come here.	('<SOS>', 'यहाँ नआऊ।', '<EOS>')
Good night, Dad.	('<SOS>', 'शुभ रात्रि, बुबा।', '<EOS>')
Good night, Tom.	('<SOS>', 'शुभ रात्रि, टम।', '<EOS>')
He bought a hat.	('<SOS>', 'उसले टोपी किन्यो।', '<EOS>')
He is unmarried.	('<SOS>', 'उनी अविवाहित छन् ।', '<EOS>')
He is unmarried.	('<SOS>', 'उहाँ अविवाहित हुनुहुन्छ ।', '<EOS>')
He is unmarried.	('<SOS>', 'ऊ अविवाहित छ।', '<EOS>')
How old are you?	('<SOS>', 'तपाई कति बर्सको हुनु भयो ?', '<EOS>')
I am a Japanese.	('<SOS>', 'म जापानी हुँ।', '<EOS>')
I decided to go.	('<SOS>', 'मैले जाने निर्णय गरें।', '<EOS>')
I eat chocolate.	('<SOS>', 'म चकलेट खान्छु।', '<EOS>')
I live in Japan.	('<SOS>', 'म जापानमा बस्छु।', '<EOS>')
I live in Tokyo.	('<SOS>', 'म टोकियोमा बस्छु।', '<EOS>')
I want a friend.	('<SOS>', 'मलाई एउटा साथी चाहियो।', '<EOS>')
I was listening.	('<SOS>', 'म सुनिरहेको थिएँ।', '<EOS>')
I was suspended.	('<SOS>', 'मलाई निलम्बन गरिएको थियो ।', '<EOS>')
I went for help.	('<SOS>', 'म मद्दतको लागि गएँ।', '<EOS>')
I went shopping.	('<SOS>', 'म किनमेल गर्न गए।', '<EOS>')
I went upstairs.	('<SOS>', 'म माथितिर गएँ।', '<EOS>')
I will continue.	('<SOS>', 'म जारी राख्छु।', '<EOS>')
I will stop Tom.	('<SOS>', 'म टमलाई रोक्नेछु।', '<EOS>')
I'm the skipper.	('<SOS>', 'म कप्तान हुँ।', '<EOS>')
I'm very hungry.	('<SOS>', 'मलाई धेरै भोक लागेको छ।', '<EOS>')
Is Tom sleeping?	('<SOS>', 'के टम सुतिरहेको छ?', '<EOS>')
It's not broken.	('<SOS>', 'यो तोडिएको छैन।', '<EOS>')
It's not broken.	('<SOS>', 'यो फुटेको छैन।', '<EOS>')
It's not enough.	('<SOS>', 'यो पर्याप्त छैन।', '<EOS>')
It's still open.	('<SOS>', 'हामी अझ खुल्ला छौ।', '<EOS>')
Merry Christmas!	('<SOS>', 'क्रिसमसको शुभकामना!', '<EOS>')
My laptop broke.	('<SOS>', 'मेरो ल्यापटप फुट्यो।', '<EOS>')
Please fix this.	('<SOS>', 'कृपया यसलाई ठीक गर्नुहोस्।', '<EOS>')
Sheep eat grass.	('<SOS>', 'भेडाले घाँस खान्छ।', '<EOS>')
Tom abused Mary.	('<SOS>', 'टमले मेरीलाई दुर्व्यवहार गरे।', '<EOS>')
Tom became rich.	('<SOS>', 'टम धनी भयो।', '<EOS>')
Tom can't go in.	('<SOS>', 'टम भित्र जान सक्दैन।', '<EOS>')
Tom is friendly.	('<SOS>', 'टम मिलनसार छ।', '<EOS>')
Tom is my rival.	('<SOS>', 'टम मेरो प्रतिद्वन्द्वी हो।', '<EOS>')
Tom is speaking.	('<SOS>', 'टम बोल्दै छ।', '<EOS>')
Tom is talented.	('<SOS>', 'टम प्रतिभाशाली छ।', '<EOS>')
Tom lived alone.	('<SOS>', 'टम एक्लै बस्थे।', '<EOS>')
Tom looked lost.	('<SOS>', 'टम हराएको देखिन्थ्यो।', '<EOS>')
Tom loves ramen.	('<SOS>', 'टमलाई रामेन मनपर्छ।', '<EOS>')
Tom passed away.	('<SOS>', 'टमको मृत्यु भयो।', '<EOS>')
Tom was a drunk.	('<SOS>', 'टम एक मातेको थियो।', '<EOS>')
Tom was elderly.	('<SOS>', 'टम वृद्ध थिए।', '<EOS>')
Tom will accept.	('<SOS>', 'टमले स्वीकार गर्नेछ।', '<EOS>')
We are brothers.	('<SOS>', 'हामी दाजुभाइ हौं।', '<EOS>')
We are students.	('<SOS>', 'हामी विद्यार्थी हौँ ।', '<EOS>')
We are teachers.	('<SOS>', 'हामी शिक्षक हौं।', '<EOS>')
We need capital.	('<SOS>', 'हामीलाई पुँजी चाहिन्छ ।', '<EOS>')
We'll stay here.	('<SOS>', 'हामी यहाँ बस्नेछौ।', '<EOS>')
Where can I eat?	('<SOS>', 'म कहाँ खान सक्छु?', '<EOS>')
Where did he go?	('<SOS>', 'ऊ कहाँ गयो?', '<EOS>')
Where did he go?	('<SOS>', 'उनी कहाँ गए?', '<EOS>')
Who are you all?	('<SOS>', 'को हौ तिमीहरु सबै?', '<EOS>')
Who are you all?	('<SOS>', 'तिमीहरु सबै को हौ?', '<EOS>')
Who did Tom ask?	('<SOS>', 'टमले कसलाई सोध्यो?', '<EOS>')
Who is this Tom?	('<SOS>', 'यो टम को हो?', '<EOS>')
Answer the phone.	('<SOS>', 'फोन उठाउनुहोस्।', '<EOS>')
Are you a banker?	('<SOS>', 'तपाईं बैंकर हुनुहुन्छ?', '<EOS>')
Are you a couple?	('<SOS>', 'के तपाईहरू जोडी हुनुहुन्छ?', '<EOS>')
Are you a townie?	('<SOS>', 'के तपाई शहरवासी हुनुहुन्छ?', '<EOS>')
Are you stopping?	('<SOS>', 'के तपाइँ रोकिदै हुनुहुन्छ?', '<EOS>')
Can I dance here?	('<SOS>', 'के म यहाँ नाच्न सक्छु?', '<EOS>')
Do I have a cold?	('<SOS>', 'रुघा लागेको छ?', '<EOS>')
Don't talk to me.	('<SOS>', 'मसँग कुरा नगर।', '<EOS>')
Drink more water.	('<SOS>', 'धेरै पानी पिउनुहोस्।', '<EOS>')
He is delightful.	('<SOS>', 'उहाँ रमाईलो हुनुहुन्छ।', '<EOS>')
He is overweight.	('<SOS>', 'उनको तौल बढी छ ।', '<EOS>')
He is overweight.	('<SOS>', 'उसको तौल बढी छ ।', '<EOS>')
He is unsociable.	('<SOS>', 'ऊ मिलनसार छैन ।', '<EOS>')
He was born dumb.	('<SOS>', 'उनी मुर्ख जन्मेका थिए ।', '<EOS>')
He was born rich.	('<SOS>', 'उनी जन्मिदा खेरि नै धनि हुन्।', '<EOS>')
He's not serious.	('<SOS>', 'उनी गम्भीर छैनन्।', '<EOS>')
I am a foreigner.	('<SOS>', 'म एक विदेशी हुँ।', '<EOS>')
I am a professor.	('<SOS>', 'म प्राध्यापक हुँ।', '<EOS>')
I am eating rice.	('<SOS>', 'म भात खाँदै छु ।', '<EOS>')
