who?	को?
she is active.	उनी सक्रिय छिन्।
she is crying.	उनी रुदै छिन् ।
she is crying.	उनी रोइरहेकी छिन् ।
she is eating.	उनी खाइरहेकि छिन् ।
she is strong.	तिनी बलियो छिन्।
tell everyone.	सबैलाई भन।
tell everyone.	सबैलाई भन्नुहोस्।
that's a fake.	त्यो नक्कली हो।
this is a map.	यो नक्सा हो।
this is a map.	यो एउटा नक्शा हो।
tom isn't new.	टम नयाँ होइन।
tom was blind.	टमले आँखा देख्दैन थियो।
tom was blind.	टम अन्धो थियो।
tom was scary.	टम डरलाग्दो थियो।
we are hungry.	हामी भोकाएका छौं।
we drank beer.	हामीले बियर पियौं।
who's driving?	कसले गाडी चलाउदै छ?
who's singing?	कसले गाउँदै छ?
will you clap?	के तिमी ताली बजाउछौ ?
a beer, please.	कृपया, एक बियर।
are you sleepy?	के तपाईलाई निद्रा लागेको छ ?
can i eat that?	के म त्यो खान सक्छु?
can i eat this?	के म यो खान सक्छु?
cows eat grass.	गाईहरुले घाँस खान्छन्।
girls love tom.	केटीहरू टमलाई मन पराउँछन्।
happy birthday!	जन्मदिनको शुभकामना
he is a doctor.	उहाँ डाक्टर हुनुहुन्छ।
he is powerful.	उहाँ शक्तिशाली हुनुहुन्छ।
he is powerful.	ऊ शक्तिशाली छ।
he was at home.	ऊ घरमै थियो।
here, try some.	यहाँ, केहि प्रयास गर्नुहोस्।
how is it made?	यो कसरी बनेको छ?
i am a student.	म विद्यार्थी हुँ।
i am a teacher.	म शिक्षक हुँ।
i am an artist.	म एक कलाकार हुँ।
i can't see it.	म यो देख्न सक्दिन।
i can't see it.	म यसलाई देख्न सक्दिन।
i danced alone.	म एक्लै नाचेँ ।
i drink coffee.	म कफी पिउछु।
i eat anything.	म जे पनि खान्छु।
i eat tomatoes.	म टमाटर खान्छु।
i expect a lot.	म धेरै अपेक्षा गर्छु।
i have a dream.	मसँग एउटा सपना छ।
i have hiccups.	मलाई बाडुली लागेको छ।
i have one kid.	मेरो एउटा बच्चा छ।
i just checked.	मैले भर्खरै चेक गरे।
i like my name.	मलाई मेरो नाम मन पर्छ।
i like sashimi.	मलाई शशिमी मन पर्छ।
i need tom now.	अब मलाई टम चाहिन्छ।
i remember tom.	म टमलाई सम्झन्छु।
i sneeze a lot.	म धेरै हाच्छिउँ गर्छु।
i speak french.	म फ्रेन्च बोल्न सक्छु।
i was sleeping.	म सुतिरहेको थिए।
i went fishing.	म माछा मार्न गएँ।
i went on foot.	म पैदल गएँ ।
i went outside.	म बाहिर गएँ ।
i will survive.	म बाच्ने छु।
i'm a criminal.	म एक अपराधी हुँ।
i'm a rich kid.	म एक धनी बच्चा हुँ।
i'm only human.	म मान्छे मात्रै हुँ।
i'm very angry.	म धेरै रिसाएको छु।
is he sleeping?	के ऊ सुतिरहेको छ?
it was raining.	पानी परिरहेको थियो।
leave me alone!	मलाई एक्लै छाडिदेउ!
let's be clear.	प्रष्ट होऔं।
let's be clear.	प्रष्ट बनौं।
let's hurry up.	हतार गरौं।
many fish died.	धेरै माछा मरे।
my name is tom.	मेरो नाम टम हो।
shall we begin?	सुरु गरौँ कि?
shall we begin?	सुरु गरौँ त?
shall we begin?	श्रीगणेश गरौँ त?
shall we start?	सुरु गरौँ कि?
shall we start?	सुरु गरौँ त?
shall we start?	श्रीगणेश गरौँ त?
she is dieting.	उनी डाइटिङ गरिरहेकी छिन् ।
tell everybody.	सबैलाई भन।
tell everybody.	सबैलाई भन्नुहोस्।
this is a book.	यो पुस्तक हो।
tom apologized.	टमले माफी मागे।
tom apologized.	टमले माफी माग्यो।
tom hated mary.	टम मेरीलाई घृणा गर्थ्यो।
tom hated this.	टमले यसलाई घृणा गर्यो।
tom hates bugs.	टमले किराहरूलाई घृणा गर्छ।
tom is my name.	टम मेरो नाम हो।
tom is talking.	टम बोल्दै छ।
tom seems nice.	टम राम्रो देखिन्छ।
tom wore a cap.	टमले टोपी लगाएको थियो।
tom wore jeans.	टमले जिन्स लगाएका थिए।
tom's not sick.	टम बिरामी छैन।
we are cousins.	हामी दाजुभाइ हौं।
we are doctors.	हामी डाक्टर हौं।
what can i eat?	म के खान सक्छु?
what can i eat?	मैले के खादा राम्रो हुन्छ?
what do i need?	मलाई के चाहिन्छ?
who's speaking?	तपाईं को हुनुहुन्छ?
who's speaking?	को बोल्दै हुनुहुन्छ?
are you a local?	के तपाइँ स्थानीय हुनुहुन्छ?
are you chicken?	तपाई कुखुरा हो?
did tom ask you?	के टमले तिमीलाई सोध्यो?
don't come here.	यहाँ नआऊ।
good night, dad.	शुभ रात्रि, बुबा।
good night, tom.	शुभ रात्रि, टम।
he bought a hat.	उसले टोपी किन्यो।
he is unmarried.	उनी अविवाहित छन् ।
he is unmarried.	उहाँ अविवाहित हुनुहुन्छ ।
he is unmarried.	ऊ अविवाहित छ।
how old are you?	तपाई कति बर्सको हुनु भयो ?
i am a japanese.	म जापानी हुँ।
i decided to go.	मैले जाने निर्णय गरें।
i eat chocolate.	म चकलेट खान्छु।
i live in japan.	म जापानमा बस्छु।
i live in tokyo.	म टोकियोमा बस्छु।
i want a friend.	मलाई एउटा साथी चाहियो।
i was listening.	म सुनिरहेको थिएँ।
i was suspended.	मलाई निलम्बन गरिएको थियो ।
i went for help.	म मद्दतको लागि गएँ।
i went shopping.	म किनमेल गर्न गए।
i went upstairs.	म माथितिर गएँ।
i will continue.	म जारी राख्छु।
i will stop tom.	म टमलाई रोक्नेछु।
i'm the skipper.	म कप्तान हुँ।
i'm very hungry.	मलाई धेरै भोक लागेको छ।
is tom sleeping?	के टम सुतिरहेको छ?
it's not broken.	यो तोडिएको छैन।
it's not broken.	यो फुटेको छैन।
it's not enough.	यो पर्याप्त छैन।
it's still open.	हामी अझ खुल्ला छौ।
merry christmas!	क्रिसमसको शुभकामना!
my laptop broke.	मेरो ल्यापटप फुट्यो।
please fix this.	कृपया यसलाई ठीक गर्नुहोस्।
sheep eat grass.	भेडाले घाँस खान्छ।
tom abused mary.	टमले मेरीलाई दुर्व्यवहार गरे।
tom became rich.	टम धनी भयो।
tom can't go in.	टम भित्र जान सक्दैन।
tom is friendly.	टम मिलनसार छ।
tom is my rival.	टम मेरो प्रतिद्वन्द्वी हो।
tom is speaking.	टम बोल्दै छ।
tom is talented.	टम प्रतिभाशाली छ।
tom lived alone.	टम एक्लै बस्थे।
tom looked lost.	टम हराएको देखिन्थ्यो।
tom loves ramen.	टमलाई रामेन मनपर्छ।
tom passed away.	टमको मृत्यु भयो।
tom was a drunk.	टम एक मातेको थियो।
tom was elderly.	टम वृद्ध थिए।
tom will accept.	टमले स्वीकार गर्नेछ।
we are brothers.	हामी दाजुभाइ हौं।
we are students.	हामी विद्यार्थी हौँ ।
we are teachers.	हामी शिक्षक हौं।
we need capital.	हामीलाई पुँजी चाहिन्छ ।
we'll stay here.	हामी यहाँ बस्नेछौ।
where can i eat?	म कहाँ खान सक्छु?
where did he go?	ऊ कहाँ गयो?
where did he go?	उनी कहाँ गए?
who are you all?	को हौ तिमीहरु सबै?
who are you all?	तिमीहरु सबै को हौ?
who did tom ask?	टमले कसलाई सोध्यो?
who is this tom?	यो टम को हो?
answer the phone.	फोन उठाउनुहोस्।
are you a banker?	तपाईं बैंकर हुनुहुन्छ?
are you a couple?	के तपाईहरू जोडी हुनुहुन्छ?
are you a townie?	के तपाई शहरवासी हुनुहुन्छ?
are you stopping?	के तपाइँ रोकिदै हुनुहुन्छ?
can i dance here?	के म यहाँ नाच्न सक्छु?
do i have a cold?	रुघा लागेको छ?
don't talk to me.	मसँग कुरा नगर।
drink more water.	धेरै पानी पिउनुहोस्।
he is delightful.	उहाँ रमाईलो हुनुहुन्छ।
he is overweight.	उनको तौल बढी छ ।
he is overweight.	उसको तौल बढी छ ।
he is unsociable.	ऊ मिलनसार छैन ।
he was born dumb.	उनी मुर्ख जन्मेका थिए ।
he was born rich.	उनी जन्मिदा खेरि नै धनि हुन्।
he's not serious.	उनी गम्भीर छैनन्।
i am a foreigner.	म एक विदेशी हुँ।
i am a professor.	म प्राध्यापक हुँ।
i am eating rice.	म भात खाँदै छु ।
i am from brazil.	म ब्राजिलबाट हुँ।
i am truly sorry.	मलाई माफ गर्नुहोस्।
i can't beat tom.	म टमलाई हराउन सक्दिन।
i can't beat tom.	म टमलाई जित्न सक्दिन।
i can't eat rice.	म भात खान सक्दिन।
i don't eat beef.	म गाईको मासु खाँदिन।
i don't eat beef.	म गाईको मासु खान्न।
i don't eat rice.	म भात खान्न।
i don't know her.	म तिनलाई चिन्दिन।
i drink a little.	म अलिकति पिउँछु ।
i drink tea, too.	म पनि चिया पिउँछु ।
i drink to relax.	म आराम गर्न पिउँछु।
i eat everything.	म सबै खान्छु।
i eat vegetables.	म तरकारी खान्छु।
i have to go out.	म बाहिर जानु पर्छ।
i hear something.	म केहि सुन्छु।
i like pop music.	मलाई पप गीत मन पर्छ।
i live near here.	म यहाँ नजिकै बस्छु।
i love egg yolks.	मलाई अण्डाको पहेलो भाग मन पर्छ।
i miss you a lot.	मलाई तिम्रो धेरै याद आइरहेको छ।
i miss you badly.	मलाई तिम्रो धेरै याद आइरहेको छ।
i saw tom crying.	मैले टम रोइरहेको देखें।
i was born there.	म त्यहीँ जन्मिएँ ।
i was very upset.	म निकै उदास थिएँ ।
i wasn't careful.	म सचेत थिइनँ।
i will translate.	म अनुवाद गर्छु।
i'm ok with that.	म त्यो संग ठीक छु।
i'm middle class.	म मध्यमवर्गीय हुँ।
i'm not creative.	म रचनात्मक छुइन।
i'm not on drugs.	म लागुऔषध मा छैन।
i'm not so brave.	म त्यति बहादुर छैन।
i'm not sure yet.	म अझै पक्का छैन।
i'm off tomorrow.	म भोलि बिदामा छु।
i'm on your side.	म तिमीलाई समर्थन गर्छु।
i'm out of ideas.	म बिचारबाट बाहिर छु।
i'm out of shape.	मेरो आकार छैन।
i'm out of sugar.	मेरो चिनी सकिएको छ।
i'm the youngest.	म सबैभन्दा कान्छो हुँ।
i'm the youngest.	म सबैभन्दा कान्छी हुँ।
i've been stupid.	म मुर्ख भएको छु।
is tom here, too?	के टम पनि यहाँ छ?
nice to meet you.	तपाईँलाई भेटेर खुशी लाग्यो।
people are dying.	मानिसहरु मरिरहेका छन् ।
people are dying.	मान्छे मरिरहेका छन् ।
respect yourself.	आफैलाई सम्मान गर्नुहोस्।
she is beautiful.	उनी सुन्दर छिन्।
she loves coffee.	उनलाई कफी मन पर्छ।
stay for a while.	केही बेर बस्नुहोस्।
stop annoying me.	मलाई कष्ट दिन बन्द गर्नुहोस्।
the sea was calm.	समुद्र शान्त थियो।
the work is done.	काम सकियो।
there's a plan b.	त्यहाँ योजना बी छ।
they like french.	तिनीहरू फ्रान्सेली मन पराउँछन्।
this tv is heavy.	यो टिभी भारी छ।
this is our team.	यो हाम्रो टोली हो।
tom bought a gun.	टमले बन्दुक किन्यो।
tom felt amazing.	टमलाई अचम्म लाग्यो।
tom is in heaven.	टम स्वर्गमा छ।
tom is obnoxious.	टम अपमानजनक छ।
tom is so strong.	टम एकदमै बलियो छ।
tom is unmarried.	टम अविवाहित छ।
tom laughs a lot.	टम धेरै हाँस्छन्।
tom will be over.	टम समाप्त हुनेछ।
tom wouldn't cry.	टम रुने थिएन।
use a calculator.	क्याल्कुलेटर प्रयोग गर्नुहोस्।
we just got here.	हामी भर्खरै यहाँ आइ पुग्यौं।
we're still open.	हामी अझ खुल्ला छौ।
what did tom add?	टमले के थप्यो?
what did tom ask?	टमले के सोधे?
what did tom use?	टमले के प्रयोग गरेको थियो?
what did you say?	तपाईले के भन्नु भयो ?
which is correct?	कुन सहि हो?
who cares anyway?	जे भए पनि कसले वास्ता गर्छ?
you sound bitter.	तिमी तितो सुनिन्छौ।
are they japanese?	के ती मानिसहरू जापानी हुन्?
did you draw that?	के तपाईंले त्यो चित्र बनाउनुभएको हो ?
do you have a car?	के तपाईसँग कार छ?
do you have plans?	के तपाईंसँग योजनाहरू छन्?
he called my name.	उसले मेरो नाम बोलायो।
he is influential.	उहाँ प्रभावशाली हुनुहुन्छ।
his eyes are blue.	उसका आँखा नीलो छन्।
how was your trip?	तपाइँको यात्रा कस्तो रह्यो?
i am 19 years old.	म १९ वर्षको भएँ।
i am 19 years old.	म १९ वर्षको हुँ ।
i am a translator.	म एक अनुवादक हुँ।
i danced with tom.	मैले टमसँग नाचें।
i decided to stay.	मैले बस्ने निर्णय गरें।
i decided to wait.	मैले पर्खने निर्णय गरें।
i didn't eat rice.	मैले भात खाइनँ ।
i didn't get paid.	मैले तलब पाएको छैन।
i don't want them.	म तिनीहरूलाई चाहन्न।
i drink to forget.	म बिर्सनका लागि पिउँछु ।
i enjoy what i do.	म जे गर्छु त्यसमा रमाउछु।
i have a headache.	मेरो टाउको दुखेको छ।
i have no friends.	मेरा कोही साथी छैनन्।
i haven't decided.	मैले निर्णय गरेको छैन।
i know tom is mad.	मलाई थाहा छ टम पागल छ।
i like sandwiches.	मलाई स्यान्डविच मन पर्छ।
i live in comfort.	म आराममा बस्छु ।
i love this store.	मलाई यो स्टोर मन पर्छ।
i read everything.	म सबै पढ्छु।
i read everything.	मैले सबै पढे।
i said good night.	मैले शुभ रात्रि भने ।
i want a daiquiri.	म एक डाईक्वरी चाहन्छु।
i was hurt by tom.	टमले मलाई चोट पुर्यायो।
i went downstairs.	म तलतिर गएँ।
i will do my best.	म सक्दो प्रयास गर्नेछु।
i'm a bit worried.	म अलि चिन्तित छु।
i'm a taxi driver.	म ट्याक्सी चालक हुँ।
i'm having a baby.	म बच्चा जन्माउँदै छु।
i'm really hungry.	मलाई धेरै भोक लागेको छ।
is that person ok?	के त्यो मान्छे ठीक छ?
is this your bike?	के यो तिम्रो साइकल हो?
it could be risky.	यो जोखिमपूर्ण हुन सक्छ।
it was a hard day.	त्यो एक कठिन दिन थियो।
it's a risky plan.	यो एक जोखिमपूर्ण योजना हो।
it's not that far.	यो त्यति टाढा छैन।
let's eat dessert.	मिठाई, खाऔं।
let's take a look.	एक पटक हेरौं।
please come again.	कृपया फेरि आउनुहोस्।
please come again.	कृपया फेरि आउनुहोला।
please correct it.	कृपया यसलाई सच्याउनुहोस्।
please keep quiet.	कृपया शान्त रहनु होला।
please stop lying.	कृपया झूट बोल्न बन्द गर्नुहोस्।
she is aggressive.	उनी आक्रामक छिन्।
she is attractive.	उनी आकर्षक छिन्।
she loves to fish.	उनी माछा मार्न एकदमै मन पराउँछिन्।
take one of these.	यी मध्ये एक लिनुहोस्।
tell me about tom.	मलाई टमको बारेमा बताउनुहोस्।
tell them to stop.	तिनीहरूलाई रोक्न भन्नुहोस्।
thank you so much.	धेरै धेरै धन्यवाद।
that's a big deal.	त्यो ठूलो कुरा हो।
the bus just left.	बस भर्खरै छुट्यो।
this hat is yours.	यो टोपी तिम्रो हो।
this is my choice.	यो मेरो रोजाई हो।
tom became cranky.	टम पागल भयो।
tom bought a coat.	टमले कोट किने।
tom bought a coat.	टमले कोट किन्यो।
tom can't come in.	टम भित्र आउन सक्दैन।
tom disliked mary.	टम मेरीलाई घृणा गर्थ्यो।
tom disliked mary.	टम मेरीलाई मन परौउँदैन थियो।
tom isn't certain.	टम निश्चित छैन।
tom lit the stove.	टमले चुलो बाल्यो।
tom lit the stove.	टमले चुलोमा आगो बाल्यो।
tom scored a goal.	टमले गोल गरे !
tom used to smoke.	टम धुम्रपान गर्थे।
tom was in heaven.	टम स्वर्गमा थियो।
tom was very cold.	टम धेरै चिसो थियो।
two beers, please.	कृपया, दुईवटा बियर।
we are classmates.	हामी सहपाठी हौं।
we waited outside.	हामी बाहिर पर्ख्यौं।
were you truthful?	के तपाई सत्यवादी हुनुहुन्थ्यो?
what is your name?	तिम्रो नाम के हो?
when was she born?	उनी कहिले जन्मिइन् ?
where was he born?	उ कहाँ जन्मेको थियो?
who is tom anyway?	जे भए पनि टम को हो?
who is tom really?	टम साँच्चै को हो?
who is tom to you?	तपाईको लागि टम को हो?
who's at the door?	ढोकामा को छ?
you have no proof.	तपाईंसँग कुनै प्रमाण छैन।
you have no proof.	तिमिसँग कुनै प्रमाण छैन।
you look very sad.	तिमी धेरै दुःखी देखिन्छौ।
you look very sad.	तिमी धेरै उदास देखिन्छौ।
you need to sleep.	तपाईंले सुत्नु पर्छ।
a lot of fish died.	धेरै माछा मरे।
are you colleagues?	के तपाई सहकर्मी हुनुहुन्छ?
bananas are yellow.	केरा पहेंलो हुन्छ।
can we do it again?	के हामी यसलाई फेरि गर्न सक्छौं?
happy father's day!	बुबाको दिनको शुभकामना!
happy father's day!	बुवा दिवसको शुभकामना।
he enjoyed cycling.	उसलाई साइकल चलाउन रमाइलो लग्यो।
he is always right.	उहाँ सधैं सही हुनुहुन्छ।
he is always right.	ऊ सधैं सही छ।
hi, how's it going?	नमस्ते, कस्तो भइरहेको छ?
how is your sister?	तिम्री बहिनीलाई कस्तो छ?
how smart are they?	तिनीहरू कत्तिको बाठा छन्?
i climbed mt. fuji.	मैले माउन्ट फुजी चढेँ।
i dance quite well.	म एकदम राम्रो नृत्य गर्छु।
i decided the same.	मैले पनि त्यही निर्णय गरें ।
i don't believe it!	मलाई यस्तो कुराको विश्वास लाग्दैन।
i don't believe it.	मलाई यस्तो कुराको विश्वास लाग्दैन।
i drive everywhere.	जताततै गाडी चलाउँछु।
i had a bad moment.	म सँग नराम्रो क्षण थियो।
i like disco music.	मलाई डिस्को संगीत मन पर्छ।
i like this guitar.	मलाई यो गिटार मनपर्छ।
i like this guitar.	मलाई यो गितार मनपर्छ।
i love korean food.	मलाई कोरियन खाना मन पर्छ।
i love korean food.	कोरियन खाना मन पर्छ।
i love korean food.	कोरियाको खाना मन पर्छ।
i love korean food.	कोरियाको खानेकुरा मन पर्छ।
i need to exercise.	मलाई व्यायाम गर्न आवश्यक छ।
i teach tom french.	म टमलाई फ्रेन्च सिकाउँछु।
i think he is sick.	मलाई लाग्छ उहाँ बिरामी हुनुहुन्छ।
i think he is sick.	मलाई लाग्छ ऊ बिरामी छ।
i think he's happy.	मलाई लाग्छ ऊ खुसी छ।
i told tom to wait.	मैले टमलाई पर्खन भनें।
i went sightseeing.	म घुम्न गएँ ।
i went windsurfing.	म हावा खान गएँ।
i'm glad it's over.	यो सकिएकोमा म खुसी छु।
i'm not courageous.	म साहसी छुइन।
is this a sentence?	के यो वाक्य हो?
is this room tom's?	के यो टमको कोठा हो?
is this seat taken?	के यो सिटमा मान्छे हुनुहुन्छ?
is this your house?	यो तपाईको घर हो?
is this your house?	यो तिम्रो घर हो?
is this your house?	यो तेरो घर हो?
is this your house?	यो हजुरको घर हो?
keep away from tom.	टमबाट टाढा रहनुहोस्।
let me rephrase it.	मलाई यसलाई दोहोर्याउन दिनुहोस्।
mt. fuji is famous.	माउन्ट फुजी प्रसिद्ध छ।
my mailbox is full.	मेरो मेलबक्स भरिएको छ।
please call me tom.	कृपया मलाई टम भन्नुहोस्।
please don't worry.	कृपया चिन्ता नगर्नुहोस्।
please don't worry.	चिन्ता नलिनुहोस्।
please repair this.	कृपया यसलाई ठीक गर्नुहोस्।
please repeat that.	कृपया यसलाई दोहोर्याउनुहोस्।
she is unconscious.	उनी बेहोस छिन् ।
she is unconscious.	उनी अचेत छिन् ।
she threatened him.	उनले उसलाई धम्की दिइन्।
she was born lucky.	उनी भाग्यमानी जन्मिएकी थिइन् ।
take off your mask.	मास्क फुकाल्नुहोस्।
that's my umbrella.	यो मेरो छाता हो।
the cat drank milk.	बिरालोले दूध खायो।
the house is empty.	घर खाली छ ।
the lamp is broken.	बत्ती बिग्रिएको छ।
they can't get out.	तिनीहरू बाहिर निस्कन सक्दैनन्।
this apple is sour.	यो स्याउ अमिलो छ।
this is a bus stop.	यो बस स्टप हो।
this is a bus stop.	यो बस बिसौनी हो।
this should be fun.	यो रमाइलो हुनुपर्छ।
tom ate my dessert.	टमले मेरो मिठाई खाइदियो।
tom became violent.	टम हिंस्रक भयो।
tom gave me advice.	टमले मलाई सल्लाह दिए।
tom is a dog lover.	टम एक कुकुर प्रेमी हो।
tom is a zoologist.	टम एक प्राणीशास्त्री हो।
tom is working now.	टम अहिले काम गर्दैछ।
tom left with mary.	टम मेरीसँग गए।
tom might be bored.	टम बोर भएको हुन सक्छ।
tom probably knows.	सायद टमलाई थाहा छ।
tom probably knows.	सायद टम जान्दछ।
tom writes scripts.	टमले स्क्रिप्टहरू लेख्छन्।
tom, are you there?	टम, तिमी त्यहाँ छौ?
we closed our eyes.	हामीले आँखा बन्द गर्यौं ।
what a funny story!	कस्तो रोचक कथा है !
what do they think?	तिनीहरू के सोच्छन्?
what is this thing?	यो के चिज हो?
what's tom cooking?	टमले के पकाउँदै छ?
