who?	<SOS> को? <EOS>
i am curious.	<SOS> म जिज्ञासु छु <EOS>
i am working.	<SOS> म काम गर्दैछु। <EOS>
i am working.	<SOS> म काम गरिरहेको छु। <EOS>
i don't know.	<SOS> मलाई थाहा छैन। <EOS>
i don't know.	<SOS> थाहा छैन। <EOS>
i drink beer.	<SOS> म बियर पिउँछु। <EOS>
i drink milk.	<SOS> म दूध पिउँछु। <EOS>
i drink wine.	<SOS> म वाइन पिउँछु। <EOS>
i eat cheese.	<SOS> म चीज खान्छु। <EOS>
i eat slowly.	<SOS> म बिस्तारै खान्छु। <EOS>
i have a map.	<SOS> म सँग नक्सा छ। <EOS>
i like steak.	<SOS> मलाई स्टेक मन पर्छ। <EOS>
i live alone.	<SOS> म एक्लै बस्छु। <EOS>
i need a pet.	<SOS> मलाई एउटा पाल्तु जनावर चाहिन्छ। <EOS>
i read books.	<SOS> म किताबहरू पढ्छु । <EOS>
i want a dog.	<SOS> मलाई एउटा कुकुर चाहियो। <EOS>
i went there.	<SOS> म त्यहाँ गएँ। <EOS>
i went twice.	<SOS> म दुई पटक गएँ । <EOS>
i will fight.	<SOS> म लड्नेछु। <EOS>
i will learn.	<SOS> म सिक्नेछु। <EOS>
make a guess.	<SOS> अनुमान गर्नुहोस्। <EOS>
my eyes hurt.	<SOS> मेरो आँखा दुखिरहेको छ! <EOS>
she is eight.	<SOS> उनी आठ वर्षकी हुन् । <EOS>
she is happy.	<SOS> उनी खुसी छिन् । <EOS>
she is lucky.	<SOS> उनी भाग्यमानी छिन्। <EOS>
she is quiet.	<SOS> उनी शान्त छिन्। <EOS>
she is sharp.	<SOS> तिनी तीक्ष्ण छिन्। <EOS>
she is wrong.	<SOS> उनी गलत छिन्। <EOS>
tom got rich.	<SOS> टम धनी भयो। <EOS>
tom hates me.	<SOS> टमले मलाई घृणा गर्छ। <EOS>
we are happy.	<SOS> हामी खुसी छौं। <EOS>
we don't lie.	<SOS> हामी झूट बोल्दैनौं। <EOS>
we have room.	<SOS> हामीसँग कोठा छ। <EOS>
what is this?	<SOS> यो के हो? <EOS>
did tom paint?	<SOS> टमले पेन्ट गर्यो? <EOS>
he drank beer.	<SOS> उनले बियर पिए । <EOS>
he drank beer.	<SOS> उसले बियर पियो । <EOS>
he is foolish.	<SOS> ऊ मूर्ख छ। <EOS>
he seems kind.	<SOS> उनी दयालु देखिन्छन्। <EOS>
he seems kind.	<SOS> उहाँ दयालु देखिनुहुन्छ। <EOS>
i am japanese.	<SOS> म जापानीज हुँ। <EOS>
i am a runner.	<SOS> म एक धावक हुँ। <EOS>
i am divorced.	<SOS> म सम्बन्धविच्छेद भएको हु। <EOS>
i am studying.	<SOS> म पढिरहेको छु। <EOS>
i am studying.	<SOS> म पढ्दै छु। <EOS>
i can't watch.	<SOS> म हेर्न सक्दिन। <EOS>
i drink a lot.	<SOS> म धेरै पिउँछु। <EOS>
i eat bananas.	<SOS> म केरा खान्छु। <EOS>
i eat chicken.	<SOS> म कुखुराको मासु खान्छु । <EOS>
i live nearby.	<SOS> म नजिकै बस्छु। <EOS>
i must go out.	<SOS> म बाहिर जानु पर्छ। <EOS>
i read novels.	<SOS> मैले उपन्यासहरू पढे। <EOS>
i should quit.	<SOS> मैले छाड्नु पर्छ। <EOS>
i was excited.	<SOS> म उत्साहित थिएँ। <EOS>
i went aboard.	<SOS> म विदेश गएँ । <EOS>
i went abroad.	<SOS> म विदेश गएँ । <EOS>
i went hiking.	<SOS> म पदयात्रामा गएँ। <EOS>
i went inside.	<SOS> म भित्र गएँ । <EOS>
i went skiing.	<SOS> म स्कीइङ गर्न गएँ। <EOS>
i'm ambitious.	<SOS> म महत्वाकांक्षी छु। <EOS>
i'm an addict.	<SOS> म एक लतमा लागेको व्यक्ति हुँ। <EOS>
i'm not brave.	<SOS> म साहसी छैन। <EOS>
i'm not crazy.	<SOS> म पागल होइन। <EOS>
i'm not crazy.	<SOS> म पागल छैन। <EOS>
is tom asleep?	<SOS> के टम सुतिरहेको छ? <EOS>
is tom famous?	<SOS> के टम प्रसिद्ध छ? <EOS>
it'll be easy.	<SOS> यो सजिलो हुनेछ। <EOS>
it's not mine.	<SOS> यो मेरो होइन। <EOS>
life is short.	<SOS> जिवन छोटो छ। <EOS>
my name's tom.	<SOS> मेरो नाम टम हो। <EOS>
please fix it.	<SOS> कृपया यसलाई ठीक गर्नुहोस्। <EOS>
she is french.	<SOS> उनी फ्रान्सेली हुन्। <EOS>
she is active.	<SOS> उनी सक्रिय छिन्। <EOS>
she is crying.	<SOS> उनी रुदै छिन् । <EOS>
she is crying.	<SOS> उनी रोइरहेकी छिन् । <EOS>
she is eating.	<SOS> उनी खाइरहेकि छिन् । <EOS>
she is strong.	<SOS> तिनी बलियो छिन्। <EOS>
tell everyone.	<SOS> सबैलाई भन। <EOS>
tell everyone.	<SOS> सबैलाई भन्नुहोस्। <EOS>
that's a fake.	<SOS> त्यो नक्कली हो। <EOS>
this is a map.	<SOS> यो नक्सा हो। <EOS>
this is a map.	<SOS> यो एउटा नक्शा हो। <EOS>
tom isn't new.	<SOS> टम नयाँ होइन। <EOS>
tom was blind.	<SOS> टमले आँखा देख्दैन थियो। <EOS>
tom was blind.	<SOS> टम अन्धो थियो। <EOS>
tom was scary.	<SOS> टम डरलाग्दो थियो। <EOS>
we are hungry.	<SOS> हामी भोकाएका छौं। <EOS>
we drank beer.	<SOS> हामीले बियर पियौं। <EOS>
who's driving?	<SOS> कसले गाडी चलाउदै छ? <EOS>
who's singing?	<SOS> कसले गाउँदै छ? <EOS>
will you clap?	<SOS> के तिमी ताली बजाउछौ ? <EOS>
a beer, please.	<SOS> कृपया, एक बियर। <EOS>
are you sleepy?	<SOS> के तपाईलाई निद्रा लागेको छ ? <EOS>
can i eat that?	<SOS> के म त्यो खान सक्छु? <EOS>
can i eat this?	<SOS> के म यो खान सक्छु? <EOS>
cows eat grass.	<SOS> गाईहरुले घाँस खान्छन्। <EOS>
girls love tom.	<SOS> केटीहरू टमलाई मन पराउँछन्। <EOS>
happy birthday!	<SOS> जन्मदिनको शुभकामना <EOS>
he is a doctor.	<SOS> उहाँ डाक्टर हुनुहुन्छ। <EOS>
he is powerful.	<SOS> उहाँ शक्तिशाली हुनुहुन्छ। <EOS>
he is powerful.	<SOS> ऊ शक्तिशाली छ। <EOS>
he was at home.	<SOS> ऊ घरमै थियो। <EOS>
here, try some.	<SOS> यहाँ, केहि प्रयास गर्नुहोस्। <EOS>
how is it made?	<SOS> यो कसरी बनेको छ? <EOS>
i am a student.	<SOS> म विद्यार्थी हुँ। <EOS>
i am a teacher.	<SOS> म शिक्षक हुँ। <EOS>
i am an artist.	<SOS> म एक कलाकार हुँ। <EOS>
i can't see it.	<SOS> म यो देख्न सक्दिन। <EOS>
i can't see it.	<SOS> म यसलाई देख्न सक्दिन। <EOS>
i danced alone.	<SOS> म एक्लै नाचेँ । <EOS>
i drink coffee.	<SOS> म कफी पिउछु। <EOS>
i eat anything.	<SOS> म जे पनि खान्छु। <EOS>
i eat tomatoes.	<SOS> म टमाटर खान्छु। <EOS>
i expect a lot.	<SOS> म धेरै अपेक्षा गर्छु। <EOS>
i have a dream.	<SOS> मसँग एउटा सपना छ। <EOS>
i have hiccups.	<SOS> मलाई बाडुली लागेको छ। <EOS>
i have one kid.	<SOS> मेरो एउटा बच्चा छ। <EOS>
i just checked.	<SOS> मैले भर्खरै चेक गरे। <EOS>
i like my name.	<SOS> मलाई मेरो नाम मन पर्छ। <EOS>
i like sashimi.	<SOS> मलाई शशिमी मन पर्छ। <EOS>
i need tom now.	<SOS> अब मलाई टम चाहिन्छ। <EOS>
i remember tom.	<SOS> म टमलाई सम्झन्छु। <EOS>
i sneeze a lot.	<SOS> म धेरै हाच्छिउँ गर्छु। <EOS>
i speak french.	<SOS> म फ्रेन्च बोल्न सक्छु। <EOS>
i was sleeping.	<SOS> म सुतिरहेको थिए। <EOS>
i went fishing.	<SOS> म माछा मार्न गएँ। <EOS>
i went on foot.	<SOS> म पैदल गएँ । <EOS>
i went outside.	<SOS> म बाहिर गएँ । <EOS>
i will survive.	<SOS> म बाच्ने छु। <EOS>
i'm a criminal.	<SOS> म एक अपराधी हुँ। <EOS>
i'm a rich kid.	<SOS> म एक धनी बच्चा हुँ। <EOS>
i'm only human.	<SOS> म मान्छे मात्रै हुँ। <EOS>
i'm very angry.	<SOS> म धेरै रिसाएको छु। <EOS>
is he sleeping?	<SOS> के ऊ सुतिरहेको छ? <EOS>
it was raining.	<SOS> पानी परिरहेको थियो। <EOS>
leave me alone!	<SOS> मलाई एक्लै छाडिदेउ! <EOS>
let's be clear.	<SOS> प्रष्ट होऔं। <EOS>
let's be clear.	<SOS> प्रष्ट बनौं। <EOS>
let's hurry up.	<SOS> हतार गरौं। <EOS>
many fish died.	<SOS> धेरै माछा मरे। <EOS>
my name is tom.	<SOS> मेरो नाम टम हो। <EOS>
shall we begin?	<SOS> सुरु गरौँ कि? <EOS>
shall we begin?	<SOS> सुरु गरौँ त? <EOS>
shall we begin?	<SOS> श्रीगणेश गरौँ त? <EOS>
shall we start?	<SOS> सुरु गरौँ कि? <EOS>
shall we start?	<SOS> सुरु गरौँ त? <EOS>
shall we start?	<SOS> श्रीगणेश गरौँ त? <EOS>
she is dieting.	<SOS> उनी डाइटिङ गरिरहेकी छिन् । <EOS>
tell everybody.	<SOS> सबैलाई भन। <EOS>
tell everybody.	<SOS> सबैलाई भन्नुहोस्। <EOS>
this is a book.	<SOS> यो पुस्तक हो। <EOS>
tom apologized.	<SOS> टमले माफी मागे। <EOS>
tom apologized.	<SOS> टमले माफी माग्यो। <EOS>
tom hated mary.	<SOS> टम मेरीलाई घृणा गर्थ्यो। <EOS>
tom hated this.	<SOS> टमले यसलाई घृणा गर्यो। <EOS>
tom hates bugs.	<SOS> टमले किराहरूलाई घृणा गर्छ। <EOS>
tom is my name.	<SOS> टम मेरो नाम हो। <EOS>
tom is talking.	<SOS> टम बोल्दै छ। <EOS>
tom seems nice.	<SOS> टम राम्रो देखिन्छ। <EOS>
tom wore a cap.	<SOS> टमले टोपी लगाएको थियो। <EOS>
tom wore jeans.	<SOS> टमले जिन्स लगाएका थिए। <EOS>
tom's not sick.	<SOS> टम बिरामी छैन। <EOS>
we are cousins.	<SOS> हामी दाजुभाइ हौं। <EOS>
we are doctors.	<SOS> हामी डाक्टर हौं। <EOS>
what can i eat?	<SOS> म के खान सक्छु? <EOS>
what can i eat?	<SOS> मैले के खादा राम्रो हुन्छ? <EOS>
what do i need?	<SOS> मलाई के चाहिन्छ? <EOS>
who's speaking?	<SOS> तपाईं को हुनुहुन्छ? <EOS>
who's speaking?	<SOS> को बोल्दै हुनुहुन्छ? <EOS>
are you a local?	<SOS> के तपाइँ स्थानीय हुनुहुन्छ? <EOS>
are you chicken?	<SOS> तपाई कुखुरा हो? <EOS>
did tom ask you?	<SOS> के टमले तिमीलाई सोध्यो? <EOS>
don't come here.	<SOS> यहाँ नआऊ। <EOS>
good night, dad.	<SOS> शुभ रात्रि, बुबा। <EOS>
good night, tom.	<SOS> शुभ रात्रि, टम। <EOS>
he bought a hat.	<SOS> उसले टोपी किन्यो। <EOS>
he is unmarried.	<SOS> उनी अविवाहित छन् । <EOS>
he is unmarried.	<SOS> उहाँ अविवाहित हुनुहुन्छ । <EOS>
he is unmarried.	<SOS> ऊ अविवाहित छ। <EOS>
how old are you?	<SOS> तपाई कति बर्सको हुनु भयो ? <EOS>
i am a japanese.	<SOS> म जापानी हुँ। <EOS>
i decided to go.	<SOS> मैले जाने निर्णय गरें। <EOS>
i eat chocolate.	<SOS> म चकलेट खान्छु। <EOS>
i live in japan.	<SOS> म जापानमा बस्छु। <EOS>
i live in tokyo.	<SOS> म टोकियोमा बस्छु। <EOS>
i want a friend.	<SOS> मलाई एउटा साथी चाहियो। <EOS>
i was listening.	<SOS> म सुनिरहेको थिएँ। <EOS>
i was suspended.	<SOS> मलाई निलम्बन गरिएको थियो । <EOS>
i went for help.	<SOS> म मद्दतको लागि गएँ। <EOS>
i went shopping.	<SOS> म किनमेल गर्न गए। <EOS>
i went upstairs.	<SOS> म माथितिर गएँ। <EOS>
i will continue.	<SOS> म जारी राख्छु। <EOS>
i will stop tom.	<SOS> म टमलाई रोक्नेछु। <EOS>
i'm the skipper.	<SOS> म कप्तान हुँ। <EOS>
i'm very hungry.	<SOS> मलाई धेरै भोक लागेको छ। <EOS>
is tom sleeping?	<SOS> के टम सुतिरहेको छ? <EOS>
it's not broken.	<SOS> यो तोडिएको छैन। <EOS>
it's not broken.	<SOS> यो फुटेको छैन। <EOS>
it's not enough.	<SOS> यो पर्याप्त छैन। <EOS>
it's still open.	<SOS> हामी अझ खुल्ला छौ। <EOS>
merry christmas!	<SOS> क्रिसमसको शुभकामना! <EOS>
my laptop broke.	<SOS> मेरो ल्यापटप फुट्यो। <EOS>
please fix this.	<SOS> कृपया यसलाई ठीक गर्नुहोस्। <EOS>
sheep eat grass.	<SOS> भेडाले घाँस खान्छ। <EOS>
tom abused mary.	<SOS> टमले मेरीलाई दुर्व्यवहार गरे। <EOS>
tom became rich.	<SOS> टम धनी भयो। <EOS>
tom can't go in.	<SOS> टम भित्र जान सक्दैन। <EOS>
tom is friendly.	<SOS> टम मिलनसार छ। <EOS>
tom is my rival.	<SOS> टम मेरो प्रतिद्वन्द्वी हो। <EOS>
tom is speaking.	<SOS> टम बोल्दै छ। <EOS>
tom is talented.	<SOS> टम प्रतिभाशाली छ। <EOS>
tom lived alone.	<SOS> टम एक्लै बस्थे। <EOS>
tom looked lost.	<SOS> टम हराएको देखिन्थ्यो। <EOS>
tom loves ramen.	<SOS> टमलाई रामेन मनपर्छ। <EOS>
tom passed away.	<SOS> टमको मृत्यु भयो। <EOS>
tom was a drunk.	<SOS> टम एक मातेको थियो। <EOS>
tom was elderly.	<SOS> टम वृद्ध थिए। <EOS>
tom will accept.	<SOS> टमले स्वीकार गर्नेछ। <EOS>
we are brothers.	<SOS> हामी दाजुभाइ हौं। <EOS>
we are students.	<SOS> हामी विद्यार्थी हौँ । <EOS>
we are teachers.	<SOS> हामी शिक्षक हौं। <EOS>
we need capital.	<SOS> हामीलाई पुँजी चाहिन्छ । <EOS>
we'll stay here.	<SOS> हामी यहाँ बस्नेछौ। <EOS>
where can i eat?	<SOS> म कहाँ खान सक्छु? <EOS>
where did he go?	<SOS> ऊ कहाँ गयो? <EOS>
where did he go?	<SOS> उनी कहाँ गए? <EOS>
who are you all?	<SOS> को हौ तिमीहरु सबै? <EOS>
who are you all?	<SOS> तिमीहरु सबै को हौ? <EOS>
who did tom ask?	<SOS> टमले कसलाई सोध्यो? <EOS>
who is this tom?	<SOS> यो टम को हो? <EOS>
answer the phone.	<SOS> फोन उठाउनुहोस्। <EOS>
are you a banker?	<SOS> तपाईं बैंकर हुनुहुन्छ? <EOS>
are you a couple?	<SOS> के तपाईहरू जोडी हुनुहुन्छ? <EOS>
are you a townie?	<SOS> के तपाई शहरवासी हुनुहुन्छ? <EOS>
are you stopping?	<SOS> के तपाइँ रोकिदै हुनुहुन्छ? <EOS>
can i dance here?	<SOS> के म यहाँ नाच्न सक्छु? <EOS>
do i have a cold?	<SOS> रुघा लागेको छ? <EOS>
don't talk to me.	<SOS> मसँग कुरा नगर। <EOS>
drink more water.	<SOS> धेरै पानी पिउनुहोस्। <EOS>
he is delightful.	<SOS> उहाँ रमाईलो हुनुहुन्छ। <EOS>
he is overweight.	<SOS> उनको तौल बढी छ । <EOS>
he is overweight.	<SOS> उसको तौल बढी छ । <EOS>
he is unsociable.	<SOS> ऊ मिलनसार छैन । <EOS>
he was born dumb.	<SOS> उनी मुर्ख जन्मेका थिए । <EOS>
he was born rich.	<SOS> उनी जन्मिदा खेरि नै धनि हुन्। <EOS>
he's not serious.	<SOS> उनी गम्भीर छैनन्। <EOS>
i am a foreigner.	<SOS> म एक विदेशी हुँ। <EOS>
i am a professor.	<SOS> म प्राध्यापक हुँ। <EOS>
i am eating rice.	<SOS> म भात खाँदै छु । <EOS>
i am from brazil.	<SOS> म ब्राजिलबाट हुँ। <EOS>
i am truly sorry.	<SOS> मलाई माफ गर्नुहोस्। <EOS>
i can't beat tom.	<SOS> म टमलाई हराउन सक्दिन। <EOS>
i can't beat tom.	<SOS> म टमलाई जित्न सक्दिन। <EOS>
i can't eat rice.	<SOS> म भात खान सक्दिन। <EOS>
i don't eat beef.	<SOS> म गाईको मासु खाँदिन। <EOS>
i don't eat beef.	<SOS> म गाईको मासु खान्न। <EOS>
i don't eat rice.	<SOS> म भात खान्न। <EOS>
i don't know her.	<SOS> म तिनलाई चिन्दिन। <EOS>
i drink a little.	<SOS> म अलिकति पिउँछु । <EOS>
i drink tea, too.	<SOS> म पनि चिया पिउँछु । <EOS>
i drink to relax.	<SOS> म आराम गर्न पिउँछु। <EOS>
i eat everything.	<SOS> म सबै खान्छु। <EOS>
i eat vegetables.	<SOS> म तरकारी खान्छु। <EOS>
i have to go out.	<SOS> म बाहिर जानु पर्छ। <EOS>
i hear something.	<SOS> म केहि सुन्छु। <EOS>
i like pop music.	<SOS> मलाई पप गीत मन पर्छ। <EOS>
i live near here.	<SOS> म यहाँ नजिकै बस्छु। <EOS>
i love egg yolks.	<SOS> मलाई अण्डाको पहेलो भाग मन पर्छ। <EOS>
i miss you a lot.	<SOS> मलाई तिम्रो धेरै याद आइरहेको छ। <EOS>
i miss you badly.	<SOS> मलाई तिम्रो धेरै याद आइरहेको छ। <EOS>
i saw tom crying.	<SOS> मैले टम रोइरहेको देखें। <EOS>
i was born there.	<SOS> म त्यहीँ जन्मिएँ । <EOS>
i was very upset.	<SOS> म निकै उदास थिएँ । <EOS>
i wasn't careful.	<SOS> म सचेत थिइनँ। <EOS>
i will translate.	<SOS> म अनुवाद गर्छु। <EOS>
i'm ok with that.	<SOS> म त्यो संग ठीक छु। <EOS>
i'm middle class.	<SOS> म मध्यमवर्गीय हुँ। <EOS>
i'm not creative.	<SOS> म रचनात्मक छुइन। <EOS>
i'm not on drugs.	<SOS> म लागुऔषध मा छैन। <EOS>
i'm not so brave.	<SOS> म त्यति बहादुर छैन। <EOS>
i'm not sure yet.	<SOS> म अझै पक्का छैन। <EOS>
i'm off tomorrow.	<SOS> म भोलि बिदामा छु। <EOS>
i'm on your side.	<SOS> म तिमीलाई समर्थन गर्छु। <EOS>
i'm out of ideas.	<SOS> म बिचारबाट बाहिर छु। <EOS>
i'm out of shape.	<SOS> मेरो आकार छैन। <EOS>
i'm out of sugar.	<SOS> मेरो चिनी सकिएको छ। <EOS>
i'm the youngest.	<SOS> म सबैभन्दा कान्छो हुँ। <EOS>
i'm the youngest.	<SOS> म सबैभन्दा कान्छी हुँ। <EOS>
i've been stupid.	<SOS> म मुर्ख भएको छु। <EOS>
is tom here, too?	<SOS> के टम पनि यहाँ छ? <EOS>
nice to meet you.	<SOS> तपाईँलाई भेटेर खुशी लाग्यो। <EOS>
people are dying.	<SOS> मानिसहरु मरिरहेका छन् । <EOS>
people are dying.	<SOS> मान्छे मरिरहेका छन् । <EOS>
respect yourself.	<SOS> आफैलाई सम्मान गर्नुहोस्। <EOS>
she is beautiful.	<SOS> उनी सुन्दर छिन्। <EOS>
she loves coffee.	<SOS> उनलाई कफी मन पर्छ। <EOS>
stay for a while.	<SOS> केही बेर बस्नुहोस्। <EOS>
stop annoying me.	<SOS> मलाई कष्ट दिन बन्द गर्नुहोस्। <EOS>
the sea was calm.	<SOS> समुद्र शान्त थियो। <EOS>
the work is done.	<SOS> काम सकियो। <EOS>
there's a plan b.	<SOS> त्यहाँ योजना बी छ। <EOS>
they like french.	<SOS> तिनीहरू फ्रान्सेली मन पराउँछन्। <EOS>
this tv is heavy.	<SOS> यो टिभी भारी छ। <EOS>
this is our team.	<SOS> यो हाम्रो टोली हो। <EOS>
tom bought a gun.	<SOS> टमले बन्दुक किन्यो। <EOS>
tom felt amazing.	<SOS> टमलाई अचम्म लाग्यो। <EOS>
tom is in heaven.	<SOS> टम स्वर्गमा छ। <EOS>
tom is obnoxious.	<SOS> टम अपमानजनक छ। <EOS>
tom is so strong.	<SOS> टम एकदमै बलियो छ। <EOS>
tom is unmarried.	<SOS> टम अविवाहित छ। <EOS>
tom laughs a lot.	<SOS> टम धेरै हाँस्छन्। <EOS>
tom will be over.	<SOS> टम समाप्त हुनेछ। <EOS>
tom wouldn't cry.	<SOS> टम रुने थिएन। <EOS>
use a calculator.	<SOS> क्याल्कुलेटर प्रयोग गर्नुहोस्। <EOS>
we just got here.	<SOS> हामी भर्खरै यहाँ आइ पुग्यौं। <EOS>
we're still open.	<SOS> हामी अझ खुल्ला छौ। <EOS>
what did tom add?	<SOS> टमले के थप्यो? <EOS>
what did tom ask?	<SOS> टमले के सोधे? <EOS>
what did tom use?	<SOS> टमले के प्रयोग गरेको थियो? <EOS>
what did you say?	<SOS> तपाईले के भन्नु भयो ? <EOS>
which is correct?	<SOS> कुन सहि हो? <EOS>
who cares anyway?	<SOS> जे भए पनि कसले वास्ता गर्छ? <EOS>
you sound bitter.	<SOS> तिमी तितो सुनिन्छौ। <EOS>
are they japanese?	<SOS> के ती मानिसहरू जापानी हुन्? <EOS>
did you draw that?	<SOS> के तपाईंले त्यो चित्र बनाउनुभएको हो ? <EOS>
do you have a car?	<SOS> के तपाईसँग कार छ? <EOS>
do you have plans?	<SOS> के तपाईंसँग योजनाहरू छन्? <EOS>
he called my name.	<SOS> उसले मेरो नाम बोलायो। <EOS>
